file,timestamp,reference_model,region_name,observed_peak_ppm,expected_peak_ppm,required_shift_ppm,required_shift_hz,peak_height,peak_width_hz,peak_snr,prominence_snr,fit_model,fit_quality,overlap_risk,reference_confidence,qc_pass,qc_failure_reason
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,2026-06-09T10:07:43,toluene_d8_residual,methyl,2.076617778776469,2.089,0.012382221223531165,0.7497498120954069,71321.22526196016,3.9468337125806614,4222.274961849449,4235.960825866147,three-point quadratic maximum,1.0,medium,high,True,
CEC-PhSi2-flow(sequence-1000)-06-09-26.dx,2026-06-09T10:07:43,toluene_d8_residual,aromatic_envelope,6.987827781306683,7.014,0.02617221869331754,1.5847411941036813,61924.1645924065,5.022429764669016,3558.055304621474,3569.4665769811763,three-point quadratic maximum,0.9999999999999925,medium,high,True,
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2026-06-09T10:26:05,protonated_toluene_low_field_neat,methyl,2.079866205220485,2.09,0.010133794779514815,0.6136064324400797,73854.68102164002,3.837237609231866,6091.959698071088,6092.932846180826,three-point quadratic maximum,0.9999999999999997,medium,high,True,
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2026-06-09T10:26:05,protonated_toluene_low_field_neat,aromatic,6.988757155180016,7.0,0.011242844819983944,0.6807599769449912,63280.70576523652,5.591288150938717,3652.9486453323234,3658.616875435249,three-point quadratic maximum,0.9999999999999387,medium,high,True,
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2026-06-09T10:26:05,protonated_toluene_dilute_cdcl3,methyl,2.079866205220485,2.34,0.2601337947795148,15.751233693268079,75729.83404253931,3.596908445241433,16139.61981608447,14843.31536084441,three-point quadratic maximum,0.9999999999999997,medium,high,True,
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2026-06-09T10:26:05,protonated_toluene_dilute_cdcl3,aromatic,6.988757155180016,7.19,0.20124284481998433,12.185356695174294,63550.625933342875,5.355077582471807,4251.702798036285,4056.2639635809473,three-point quadratic maximum,0.9999999999999387,medium,high,True,
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2026-06-09T10:26:05,toluene_d8_residual,methyl,2.079866205220485,2.089,0.009133794779514925,0.5530559233967745,72915.5787061622,3.78451394144151,3904.91074080398,3906.9744695486565,three-point quadratic maximum,0.9999999999999997,medium,high,True,
CEC-PhSi2-flow(sequence-1015)-06-09-26.dx,2026-06-09T10:26:05,toluene_d8_residual,aromatic_envelope,6.988757155180016,7.014,0.025242844819984178,1.5284671035513735,62558.302702412126,5.506187040468998,3034.2979054722027,3026.8795334659003,three-point quadratic maximum,0.9999999999999387,medium,high,True,
CEC-PhSi2-flow(sequence-1030)-06-09-26.dx,2026-06-09T10:38:47,protonated_toluene_low_field_neat,methyl,2.0789639525624133,2.09,0.011036047437586571,0.6682382716573673,81453.4741052681,3.3680359192642535,6838.635211547396,6831.116323559495,three-point quadratic maximum,0.9999999999999996,medium,high,True,
CEC-PhSi2-flow(sequence-1030)-06-09-26.dx,2026-06-09T10:38:47,protonated_toluene_low_field_neat,aromatic,6.990239978947162,7.0,0.009760021052837686,0.5909742266488525,70580.81155957283,5.113518043707624,4095.9255989520284,4098.419043488993,three-point quadratic maximum,0.9999999999999466,medium,high,True,
