ppm,intensity
-5.202335080809011,29.48034415344506
-5.202020077255819,29.100942925830736
-5.201705073702627,29.068075461229796
-5.201390070149431,29.308787292079955
-5.201075066596239,29.765729883958215
-5.200760063043047,30.410855209275326
-5.200445059489853,31.251790946416463
-5.200130055936661,32.329870385852985
-5.199815052383469,33.709321585361465
-5.199500048830275,35.45836648600118
-5.199185045277082,37.625243540448594
-5.19887004172389,40.214758080635136
-5.1985550381706975,43.172458839292915
-5.198240034617504,46.38260280298999
-5.197925031064312,49.682371984063934
-5.197610027511118,52.88944383000751
-5.197295023957926,55.83515634378671
-5.196980020404732,58.393359475719876
-5.19666501685154,60.496716012705576
-5.196350013298348,62.13707685640662
-5.196035009745154,63.3524732841085
-5.19572000619196,64.2076288842394
-5.195405002638768,64.77588680563758
-5.195089999085576,65.12794058341626
-5.1947749955323825,65.32829753986522
-5.1944599919791905,65.43636878863515
-5.1941449884259985,65.50742495457939
-5.193829984872803,65.58994098371227
-5.193514981319611,65.7190409300863
-5.193199977766419,65.90886894009344
-5.192884974213227,66.14796598327996
-5.192569970660033,66.40048857920812
-5.192254967106841,66.61318046368052
-5.191939963553647,66.72514774705138
-5.191624960000455,66.67635566311816
-5.191309956447261,66.41199971211284
-5.190994952894069,65.88277481386922
-5.190679949340877,65.04389605261002
-5.1903649457876835,63.85683627734102
-5.19004994223449,62.29639894886833
-5.189734938681298,60.36255391437578
-5.189419935128106,58.09307920865518
-5.189104931574912,55.5712867482157
-5.18878992802172,52.923991723815675
-5.188474924468528,50.30813268053066
-5.188159920915332,47.888628734433325
-5.18784491736214,45.81332042771527
-5.187529913808948,44.19181554154818
-5.187214910255756,43.08348137231343
-5.186899906702562,42.49655048964195
-5.18658490314937,42.39681578187094
-5.186269899596178,42.72203051126587
-5.185954896042983,43.39753075200542
-5.185639892489791,44.34951996056867
-5.185324888936599,45.5140812905812
-5.185009885383407,46.841445588464126
-5.184694881830213,48.295871643973044
-5.184379878277021,49.85175845890399
-5.184064874723827,51.48672167319711
-5.183749871170633,53.17272325393884
-5.183434867617441,54.86701873453325
-5.183119864064249,56.50536477053464
-5.182804860511057,58.00009698538889
-5.182489856957863,59.24494796640653
-5.182174853404669,60.1268117147992
-5.181859849851477,60.54250439490812
-5.181544846298285,60.41664770909574
-5.181229842745092,59.715847739039305
-5.1809148391918995,58.454822976981575
-5.1805998356387075,56.69206612785865
-5.180284832085512,54.51554765183403
-5.17996982853232,52.02206732096391
-5.179654824979128,49.296165568622314
-5.179339821425936,46.39516820369482
-5.179024817872742,43.34550286488201
-5.17870981431955,40.152066914024374
-5.178394810766356,36.818026285491726
-5.178079807213162,33.36841292622313
-5.17776480365997,29.868811406950442
-5.177449800106778,26.43134404336098
-5.177134796553586,23.204110703057154
-5.1768197930003925,20.346013050443105
-5.176504789447199,17.99437645280716
-5.176189785894007,16.235743745260493
-5.175874782340813,15.089286401876564
-5.175559778787621,14.50766689725043
-5.175244775234429,14.393717586560854
-5.174929771681237,14.625700351007708
-5.174614768128041,15.081583839375412
-5.174299764574849,15.654661893645482
