file,timestamp,role,setting,lambda,asymmetry,iterations,target_ppm,target_height,target_area,fixed_product_area,starting_material_area,silane_area,left_peak_area,target_ppm_change,target_ppm_percent_change,target_height_change,target_height_percent_change,target_area_change,target_area_percent_change,fixed_product_area_change,fixed_product_area_percent_change,starting_material_area_change,starting_material_area_percent_change,silane_area_change,silane_area_percent_change,left_peak_area_change,left_peak_area_percent_change
20260810_164820_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T16:57:35,intermediate,lower_smoothness,300000.0,0.001,10,5.747763819752261,188.17905876127253,4.5475773784328215,8.85729954471954,1.2291196354745075,53.89915269978067,1.7477199803010361,-0.00018606705881385466,-0.0032371030102540345,-58.92632498600332,-23.846637451764114,-11.38846504977343,-71.46357134200544,-5.657278047715863,-38.97652557704662,0.2218938803554107,22.0302031821231,-7.005613958322087,-11.50257088685531,-0.09294735783590036,-5.049655410845647
20260810_164820_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T16:57:35,intermediate,production,1000000.0,0.001,10,5.7479498868110745,247.10538374727585,15.936042428206251,14.514577592435403,1.0072257551190968,60.90476665810276,1.8406673381369365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260810_164820_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T16:57:35,intermediate,higher_smoothness,3000000.0,0.001,10,5.748063291150044,293.44799712457234,21.905012613426823,19.246597154368008,0.9489422809021767,64.12641569406534,1.952125900029801,0.0001134043389692252,0.0019729528127835016,46.34261337729649,18.754190084621083,5.968970185220572,37.45578748369607,4.732019561932605,32.60184136807951,-0.05828347421692015,-5.7865353343778,3.221649035962585,5.289650076237469,0.11145856189286452,6.055334366158702
20260810_164820_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T16:57:35,intermediate,lower_asymmetry,1000000.0,0.0005,10,5.748029193721406,277.9381398919029,20.073121835426402,17.68631398009057,0.9285607588887075,63.30472546504718,1.9270610130194135,7.930691033131154e-05,0.0013797425498312844,30.83275614462704,12.477573607283636,4.137079407220151,25.960519532112073,3.1717363876551676,21.852075042874063,-0.07866499623038936,-7.8100659986685725,2.3999588069444187,3.940510634277471,0.08639367488247696,4.693606122762075
20260810_164820_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T16:57:35,intermediate,higher_asymmetry,1000000.0,0.003,10,5.747791163407965,190.81857807708033,4.879707081979389,9.353265650564557,1.1953496312975755,54.52480130898816,1.7520598389296396,-0.00015872340310973954,-0.0027613915610840206,-56.28680567019552,-22.778461892097905,-11.056335346226863,-69.37942965473991,-5.161311941870846,-35.55950498043277,0.1881238761784787,18.677429088996483,-6.379965349114599,-10.475313672785921,-0.08860749920729694,-4.813879041118998
20260810_171806_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T17:27:21,late strong product,lower_smoothness,300000.0,0.001,10,5.791745622513422,323.113057190571,7.460243277180991,23.27065235526922,0.2239458828634087,78.45634743125923,5.843477476406829,9.334716249664865e-05,0.0016117535732234995,-100.1092463818635,-23.654057344529765,-23.233466810474503,-75.69455352293373,-10.505136702006752,-31.10256487033495,0.024801702899039962,12.454143979240333,-9.245374961043794,-10.541839668425027,0.027310203409950162,0.4695567050958993
20260810_171806_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T17:27:21,late strong product,production,1000000.0,0.001,10,5.791652275350925,423.2223035724345,30.693710087655496,33.77578905727597,0.19914417996436873,87.70172239230303,5.8161672729968785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260810_171806_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T17:27:21,late strong product,higher_smoothness,3000000.0,0.001,10,5.791696430943301,512.1703675999776,39.9460203597356,44.017271972505306,0.21575739741337058,91.57609120998524,5.5053257764020955,4.415559237624933e-05,0.00076240061172481,88.94806402754307,21.01686590634031,9.252310272080102,30.143994472017994,10.241482915229334,30.32196493725767,0.01661321744900185,8.342306288827682,3.8743688176822104,4.417665596522237,-0.310841496594783,-5.344438734386961
20260810_171806_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T17:27:21,late strong product,lower_asymmetry,1000000.0,0.0005,10,5.791665791013843,478.98032731563603,36.30566451605495,40.026213615160515,0.2098905915892263,90.24045951875442,5.439548628186929,1.3515662917740201e-05,0.00023336454391888135,55.758023743201534,13.174642090585982,5.61195442839945,18.283727879010904,6.250424557884543,18.50563593728413,0.010746411624857566,5.396297108346493,2.5387371264513945,2.894740328012306,-0.3766186448099491,-6.475375055984075
20260810_171806_081626_phsi4_0001_8scan_gain12.dx,2026-08-10T17:27:21,late strong product,higher_asymmetry,1000000.0,0.003,10,5.791740128133653,331.641031696459,7.947415091063036,24.455685935282126,0.2195853890592347,79.5081541551277,5.846683997640449,8.785278272771535e-05,0.0015168863486783176,-91.58127187597552,-21.63904669081349,-22.74629499659246,-74.10734945900413,-9.320103121993846,-27.594035201336357,0.020441209094865964,10.264527488839166,-8.193568237175327,-9.342539705804478,0.03051672464357047,0.5246878779647995
20260811_095145_081626_phsi4_0001_8scan_gain12.dx,2026-08-11T10:01:01,late follow-up,lower_smoothness,300000.0,0.001,10,5.8050913026147235,354.68270424759277,7.883184195492056,10.43297138033612,1.3607864725539625,4.213755535916627,7.770923874418722,0.0001074942790415534,0.001851758464635107,-37.692657460803275,-9.6062753014588,-1.827589095790847,-18.820222045873773,-3.0869471985393275,-22.832587197400798,0.06514004827046249,5.027609928880506,-0.31974008992690806,-7.052837728665832,-0.43995279613610627,-5.35817079939623
20260811_095145_081626_phsi4_0001_8scan_gain12.dx,2026-08-11T10:01:01,late follow-up,production,1000000.0,0.001,10,5.804983808335682,392.37536170839604,9.710773291282903,13.519918578875448,1.2956464242835,4.5334956258435355,8.210876670554828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260811_095145_081626_phsi4_0001_8scan_gain12.dx,2026-08-11T10:01:01,late follow-up,higher_smoothness,3000000.0,0.001,10,5.804906367524501,418.29343403516657,11.104020341541036,15.978046206169045,1.3136507895929694,4.8733267287273305,8.270916872265989,-7.744081118055135e-05,-0.0013340400892996465,25.918072326770528,6.605428081397275,1.3932470502581324,14.34743669187306,2.4581276272935977,18.1815268557487,0.018004365309469472,1.3896048313818326,0.33983110288379503,7.49600597266626,0.060040201711160535,0.731227664476703
20260811_095145_081626_phsi4_0001_8scan_gain12.dx,2026-08-11T10:01:01,late follow-up,lower_asymmetry,1000000.0,0.0005,10,5.804930006159622,412.4532373180243,10.779459043876983,15.322482301856088,1.2932943033561566,4.744015657476714,8.273375606731943,-5.3802176060102624e-05,-0.0009268273234947743,20.07787560962828,5.117007225481623,1.0686857525940798,11.005156031738583,1.80256372298064,13.33265220840237,-0.002352120927343382,-0.18154034027023372,0.21052003163317856,4.6436579850897655,0.06249893617711422,0.7611725115935887
20260811_095145_081626_phsi4_0001_8scan_gain12.dx,2026-08-11T10:01:01,late follow-up,higher_asymmetry,1000000.0,0.003,10,5.805079080203272,353.36454200465033,7.8176184084498015,10.350280751170743,1.376472580688875,4.233503155077199,8.026709879202421,9.527186758973016e-05,0.001641208153809564,-39.01081970374571,-9.94221949459141,-1.8931548828331017,-19.495408100326422,-3.1696378277047046,-23.444207960373287,0.08082615640537494,6.238288076939839,-0.2999924707663366,-6.617244076650406,-0.184166791352407,-2.2429613638315966
20260811_110614_081626_phsi4_0001_8scan_gain12.dx,2026-08-11T11:15:30,final / clean presentation,lower_smoothness,300000.0,0.001,10,5.813538309838835,631.890287947428,13.02975095986515,18.178487715490455,2.117230432889227,3.0232222691895005,13.028999460580339,0.00011321926407248384,0.0019475483438505968,-37.72150588482964,-5.633339530796726,-1.5820954810407013,-10.827484996089382,-4.347462751006539,-19.299797171589056,0.2418445546272432,12.895722284705105,-0.09865941710623138,-3.1602548405124122,0.18392373822163144,1.43186184493631
20260811_110614_081626_phsi4_0001_8scan_gain12.dx,2026-08-11T11:15:30,final / clean presentation,production,1000000.0,0.001,10,5.813425090574762,669.6117938322576,14.611846440905852,22.525950466496994,1.8753858782619837,3.121881686295732,12.845075722358708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260811_110614_081626_phsi4_0001_8scan_gain12.dx,2026-08-11T11:15:30,final / clean presentation,higher_smoothness,3000000.0,0.001,10,5.813354721559689,742.5803367156906,18.043506263290258,30.797003746605494,1.6819570822336285,3.444859313587643,13.26753890429755,-7.036901507362359e-05,-0.0012104570709565354,72.96854288343297,10.897141232508234,3.4316598223844057,23.48546322508206,8.2710532801085,36.71788807495647,-0.19342879602835517,-10.31407979927926,0.32297762729191115,10.345607545273126,0.42246318193884314,3.288911572576291
20260811_110614_081626_phsi4_0001_8scan_gain12.dx,2026-08-11T11:15:30,final / clean presentation,lower_asymmetry,1000000.0,0.0005,10,5.813375625793648,713.4621692578797,16.622754858429126,27.407454997906104,1.7309376814329038,3.2460979293483376,13.095992942618793,-4.946478111467201e-05,-0.0008508715661421126,43.85037542562213,6.54862650710823,2.0109084175232734,13.762178692856619,4.88150453140911,21.670581841460614,-0.14444819682907983,-7.702318680299939,0.1242162430526057,3.978890154546326,0.2509172202600851,1.9534117640375408
20260811_110614_081626_phsi4_0001_8scan_gain12.dx,2026-08-11T11:15:30,final / clean presentation,higher_asymmetry,1000000.0,0.003,10,5.813532937757488,632.6525770527862,13.051106114262064,18.353150049666144,2.049390755242349,3.065264528804396,13.054758163057429,0.00010784718272560667,0.001855140146218759,-36.959216779471376,-5.519499076912901,-1.5607403266437885,-10.681335401079068,-4.1728004168308495,-18.524414421655973,0.17400487698036526,9.278350604923213,-0.05661715749133611,-1.8135587181241064,0.209682440698721,1.6323955205163831
